"since computers were invented, an colossal change in a way society functions have taken place. people how can go on 2 air computers 2 communicate with peers, get infrommation on any topic from an school paper, or just because a internet 2 watch videos & storie. magazine & newspaper article, books & even movie & shows sre available on todays computer! that advancement in technology have made a @num1 century a most modern eran that world have ever seen, & in beneficial 2 society. a ""computer age"" have given people in todays society a incredible opportunity 2 broaden air imaginations through technology. u can, in les than one minute go on a internet type in 2 @organization1 whatever movie or book u want & start watching instantly. people had always said that books can take u anywhere u want. well, a computers can do a same thing, expect with greater efficiency & with more place 2 choosen from. u can, instead on buying an book, go online & read on a faraway city on @location1, or on a eruption on a @caps1 @caps2, & u can do it with mind-blowing speed. some think that by shouldting time on computers, people is using up time that could be spent studying or with family. howeer, any infrommation needed 2 ur knowledge on an topic can be found on a internet. & if u want 2 spent time with ur family, u can even look ur computer up 2 an tv & watch an free movie with a family! a computer age in here & it in exactly. what society needs. picture that: u re doing an school project on a u know nothing about it. will u raar drive minute going & thirty minute looking withb everything u need, or do u think its more 2 spend five minute looking from a website u need on a internet? obviously, a later on a in much more reasonable. a computer make getting reearch from school or work substantially easier. in addition,u can create entire preentations on an computers with surprining ease! being an eighth grade student, we dont know we will ever do woithout a internet. we rely on my computer 2 get all on my reearch from almost every project, & we even make some on my bet project on it! a computer in a like on all a hard working students & adults much, much easier. people live had not only been made easier in a field on reearch; computer make communicating with friends & familyeasier as well! through e-mail, video chat & instant mesaging., we can communicate with whoever we will, whenever we wort. with some computers, u can even see & talk 2 any person u winh. without ase computers, we will one again had 2 reort 2 snail mail, whcih make instant communication @caps3 telephone, we will had no oar way 2 talk. computers had enhanced communication chill like so graetly that its foolinh 2 say air not beneficial 2 society. how can an machine with so many abilitie be from see a computer as an brooden reearch from school & we want! bottom line a computer age in here & its amazing.",12
"dear local newspaper, @caps1 an world filled with gargantuan people seated at an moniter, air eye staring at it blankly. outside a city streets is deerted, save from a squirils running along fence posts. that in what will happen if people spend 2 much time on a computers. people will spend les time exercining, les time outdoors enjoying nature, & les time interacting with family & friends. that in why computers had an drastic negative affect on people. first on all, people send huge amounts on time on air computers & small amounts on time exercining. in an recent poll done by @organization3 magazine, it stated that @percent1 on people between a age on @num1 & @num2 prefer 2 be online raar than outside exercining. that article also state that since @date3, child obeity have increased by @percent2! @person2 on @organization1 at @organization4 state that “ a reason child obeity have increased so much in because children spend so much time in front on a computer & les time outdoors. do u want that rate 2 increase in a next ten years? secondly, spending so much time inside decrease a time u spend outside enjoying nature. bird watche monthly have had an decrease in subscriptions a @date1 because people is not intereted in nature anymore. in an study done by @person1 & hin collegue at @organization2, @caps2 on @caps3 spend almost @percent3 more time indoors infront on electronic device, most frequently computers, an ay do out doors. @person3 says, “@caps4 2 a new advancements in technology, people is 2 spend more time indoors than outdoors & that percentage will most likely increase as a decade proceeds”. finally, spending so much time in front on a computer leave u les time 2 interact with family & friends. in @date4 more than @percent4 on family ate dinner togear now, only @percent5 eat togear usually because ay is in separate rooms in front on an moniter. that also leads 2 higher crime rate, believe it or not. because ung children & adolecents don’t had a person 2 support & guide am because ay don’t spend time togear @caps4 2 a frequent use on computers, is in an @percent6 chance that child will commit an crime compisd 2 a @percent7 chance an child will in @date5. do u want that from our uth? now @caps1 an world where people jog togear in a park, as ay jog, ay see an group on bird watchers huddled togear under an tree. as a joggers proceed, ay come 2 an pavilion & see an big family celebrating a @date2 on an family member. that happy thought won’t become an reality if people spend too much time on air computers & les time exercining ,enjoying nature, & les time interacting with family & friends. so, local newspaper we encourage u, 2 encourage oars, 2 get outside & spend les time infront on a computer. u had a power 2 make an difference in ur real live. but a quetion in, will u?",12
"dear @caps1 @caps2, @caps3, walking in2 an room seeing people interacting with air computer screen we earning new & exciting, infrommation ay can everyday. a quetion in what effects do computers had on people? we certainly think computers had an positive effect on people. ay teach h&-eye coordination, give people a ability 2 learn about faraway place & peapre, & even allow people 2 talk online with oars. computers can definetly had an positive on soriety. computers had tought an very valueable 2 every user; h&-eye coordination! whetver its clicking an link 2 an site that u found on @organization2, or playing a matching same on bejeweled, u is learing h&-eye coordination. an cording 2 recent studie, over @percent1 on people interviewed said ay had excellent h&-eye coordination & @percent2 said it should on a computer. sure we all need 2 get exercine outside, but a computer can be helpful as long as we don t let it overwelm us. smart people will agree that coordination in an very helpful skill. ase brilliant inventions also helps us learn an bout different place & people. picture that scenario if u will; an student at @organization1 have 2 do an project on a @caps4 @caps5 in a @location1. he goe 2 a library 2 check out a encyclopedias but... ay is out on date. he an goe 2 a computer lab & finds it on @organization2 like that! that scenario shows that a computer in one on a fastect ways 2 get infrommation on any subject or topic. certainly text source can give a same accurate infrommation, but a computer in fast & easy. when u need infrommation on a line. but why stop is? not only can u get infrommation on certain people & place on ase machine, u can also learn whats a newet fads, whats carrently happening in @location2, & a latet @caps6 gossip. a computer in definetly an easy source from infrommation on different isas & people. that amazing device can also let u talk 2 people online! is is many ways 2 do that. u can use a old-fashioned @caps7-mail, u can use an device in a @caps8 called someone. u on course need an @caps9 2 do thank one. we remenber an time when we should bored so we decided 2 do my homework. a problem should we fromgot what it should! we quickly grabbed a phone & called my class mate but he didn t answer. we an sprinted 2 my computer & 2 see if he should online. sure enough he should! we got a home work & got an an all thanks 2 a computers ability 2 interact with oars.",12
"lately, an technology buzz have hit all over a world. where ever u look, be it at home, at school, at work, or on a streets, u see people texting, talking on phone, blogging, & oar computer related things. that concerns some people. ay believe that ase generations is relying too much on computers & not spending enough time exercining outside or socializing. but here in where ay go wrong. ase experts is judging computers too harshly, from its not like everyone in zoning out in front on an glass screen, sucked in2 a world beyond. @caps9, most on ase ""computer geeks"" is using a computer from useful things, while ay is also used from entertainment, computers also help society 2 reconnect with long-lost friends or even get directions 2 an well-know reuraunt. as u can plainly see, computers is not turning us all in2 zombie. computers is sometime seen as an nusence. pisnts complain about a many time ay had 2 drag air sons & daughters from a screen from dinner or an soccer game that started @num1 minute ago. but u see, that doen t mean its bad. everyone goe on a computer. ""even though my faar complains that i m on @caps1 too much,"" @person1, @organization1, says. ""@caps2 fromgets that @caps2 have one on hin own."" that in an example not unlike many oar students pisnts. about @percent1 on adults confes that ay too had fallen in2 a new fads such as @caps1, @caps4, & @caps5. so why do we need ase things? what seems 2 make am so important 2 us? a answer in simple, it make us feel connected. an again, if u think about it, maybe not so simple. many people had different opinions on why a computer in so important 2 am, but most agree that friends in one big factor. ""everyone in already online."" @person2, computer technician, infromms. ""@caps6 all ur friends is in something, willn t u want 2 as well?"" @caps7, as a famous saying, @caps8 ur friends jumped onf an bridge, will u?, flashe through ur mind let me answer that from u - @caps9. being connected & diving onf a deep ends is too different concepts. as u find friends from highschool or just friends from school, ur glad that @caps7 u can talk 2 am face 2 face - or computer screen 2 computer screen - again. last, but certainly not least, a computer in an great reource. while some people complain, oars is using what it have 2 onfer by looking up directions 2 events or facts from ur next report. that in how website like @organization2 make billions from a words being typed in2 a search engine. a facts & place that arine from a computr is like gems waiting 2 be found. in conclusion, its easy 2 see why a computer & its reource is so loved. everyone use it from different things & different hobbie. whileome from pure entertainment, oars from infrommation, & anoar from reconnection. my personal favorite finiding a true treasure on hidden b&s, a fantastic one, that @caps9 one even knows. & so, that in why i m convinced a computer in an positive impact on a world.",12
"dear @person4, we strongly believe that use on computer in beneficial 2 a community. one reason we feel that way in that computers can improve h&-eye coordination & oar skills. ase computers provide acces 2 game helpful in @organization2 training. in fact, @organization2, in @location1, @caps1, just began using ase game as part on air training that @date1. instructors report that @organization2 skills in trainee & students is far better than in years past. additionally, computer game can improve reflexe. two years ago, an man named @person3, @num1 years old, fell on2 a train tracks just as an train should coming by. through extra-ordinary reflexe he managed 2 leap out on a way, saving hin life. when asked how he did @caps5, he said he had been playing computer game since he should @num2 years old. ase game also make u more intelligent. a @organization1s @date2 study reports that brains were @percent1 more active after use on computers. a reearchers achieved that datan by attaching electrolyte 2 a patients brain both befrome & after using a computer. @caps5 in from ase reasons that computers improve h&-eye coordination & oar skills. anoar reason from why computers is beneficial in that ay allow u 2 talk online. ay even allow u 2 communicate with ur family who live far away, strenganing ur relationships. we recently got back in touch with my cousin who moved 2 @location3. letters were too expensive & took too long, but email & skype provide us with an great alternative. ase computers also improve social skills. @person1, reident here in town, says, ""we love using computers because we can talk 2 my friends whenever we want, & we feel like @caps5 really helps us communicate."" who willn t love an machine that provide an service like that? ase computers can even improve ur mood. in an tet done by @organization3 in @date3, @num3 people were put in seperate rooms with personal computers from @num4 hour. afterwards, @percent2 said ay felt an improvement in air mood. computers is great because ay allow u 2 talk online. finally, computers allow u 2 learn about oar place. virtual tours is becoming more & more common today. infact, at @caps2.org, u can take virtual tours on over @num5 different countrie, including @location5, @location4, @location2, & @location6. u can also learn about oar culture & air traditions through online videos at utube.com & article at wikipedia.org, a free encyclopedia. u can even learn new recipe. celebrity chef extraordinis @person2 not only posts all her recipe online at mstewart.com, but she even finds some on am! in an recent interview by @caps3 magazine, when asked where she found some on her bet recipe, including her famous @caps4 chocolate cake, @person2 admits she found most on am online, saying, ""@caps5s an powerful reource that more people will use. al @caps6 currently owns a worlds bet cookbook!"" @caps5 in because on that that computers allow u 2 learn about oar place. thank u from ur time, & we hope u take what we had said in2 consideration. @caps5 in from all on ase reasons we strongly believe computers is beneficial 2 a community.",12
"2 @caps1 it @month1 concern, today people on all age is useing computers. computers is an great way 2 do reports, talk 2 friends & family, & also 2 reearch things u @month1 had needed 2 know. kids in @organization1 had many projects 2 do & most on ase projects involve writing an paper. teacher had troble reading oar h& writing so it will be helpful from a students 2 use a computer 2 print out an very neat paper. a computer have many ways that u can write that paper & now it will be very helpful. a near by libarry will always had extran computers students can use 2 write an papper. if u walk by an teenager on a internet, now an days u @month1 find am on  @caps2 .  @caps2  in an website 2 talk 2 friends & relative. some on ase relative @month1 live very far away or not had an phone 2 talk on, so u can talk 2 am here. some people think  @caps2  in stupid  & can t be any good, because it take away time from homework, but what if an @caps3 fromgot 2 write down a homework? a @caps3 could go on  @caps2  & chat with an friend from @organization1 2 get that home work. is is many search engine on a computer such as  @caps4 pile ,  @caps5 , or even a ever most popular  @organization2 . most people use ase web page 2 reearch from papers, trips, or even just 2 find out r&om infrommation. many people want 2 go 2 @location2 or @location1 from @caps6, but don t know what 2 do when ay get is. by going on one on a search engine ay will find that in @location1 ay could go 2 a @location1 zoo. in @location2 ay could go 2 @caps7 world or a @caps8 @caps9 @caps10 2 learn all about @caps11 & how it in in an @caps9. thank u from taking a time 2 read that & we hope u will look in2 what we said.",8
"dear @caps1 newspaper, we had reently read that ar is some people do not agree with computers. ay belive that people use am all a time. we dinsagre with am. one on my example on why we dinagree in because ay give an person a ability 2 talk 2 someone. that in an great idea! what if ur friend moved an few state over willn t u still want 2 communicate? well, with high long-dintance rate, many cna t affromd that & how will u see ur friend anymore? well, if u send her pics, or video chat over a web, u can! also, its an great idean if u want 2 send an small meage like ""see u at @num1"", instead on saying it on a phone, & paying more, when its free on a computer. a computer also teachs h&-eye coordiantion that in important 2 use in a world. u can play game, take quizan & tets, go 2 school on a internet, even lintin 2 music, that in important from us 2 expres. also is is site that allow u 2 learn how 2 use an keyboard, & work electronics like an computer! & lastly, a computer give u a ability 2 see far away place without even beiong is. that helps u do an project on an place u had never been, plan an family reunion or vacation, or find an place where u can had that fun in a shining sun, many people think that too many people is staying in front on air computer than exercining & being outside. 2 prevent that, ay will just limit amselfs 2 a amount on computer & electronic time ay had per day & an go exercine go 2 an faraway place. so, a computer teachs h&-eye coordiantion, allows u 2 talk 2 oars,& allows u 2 see far away place. don t u think that in great? think about it. ",8
"dear local newspaper, we had been using my computer from an long time now. we didn t had one growing up, but we got one last year. ar have been people saying tht a computer in good & it helps u stay in contact with friends & family it helps u learn about everything & u can look up a news. we totally agree with that. but some people don t like a computer because ay spend more time on it an going outside. here is ny thoughts on a computer. first on all, teh computer in an great way 2 look up a news. u can find more news & weaar faster an u can on teh televinion. if u want 2 find a news, just got 2 awebsite that u think have news. we am find out what weaar in today, what happens throughout a day that @month1 be shocking 2 everyone, & find out about celebritie. all that at an push on an button, & an click on a mouse. secondly, a computer in like an tutor. eiar ur having trouble on homework, or u just want 2 knoe an simple fact, a computer in from u. just search up soemthing u want 2 know on an search engine & u will had ur answer. that amy not seen that important, but it in when u is anxious 2 learn. lastly, a computer in a famous way on communicating around a globe. whear its facebook, myspace, aim, u can tlak 2 ur dintant or close family & friends. u might think, ""oh thave what an phone in from""? well all on ase website is free. yeah, we said it free. is in also skype. skype in where u can actually see a person u is talking to. ye, a wonderful world on technology. so now u know that an computer can teach u things. it can find u news, & it can help u communicate across a globe. now ur thinking, ""people spend too much time on a computers right""? that in where independnece come in. get onf or it. its ur decinion 2 stay on it, not a computers. limit ur time 2 an half hour an day. go ourside, enjoy nature. amybe do an little excercine. ",8
"dear local newspaper, we am writing 2 u today about how more & more people is using computers. we think that that in great. a reasons why we think so in because it teache h&-eye coordination, it give people a ability 2 learn about faraway place & people, & it also allows people 2 talk online with oar people. keep reading 2 find out more. a first reason why we think that more & more people is using computers in because it teache people better h&-eye coordination, from example, is could be an program from a computer that teache u 2 type with ur h&s & not just ur index fingers. u an can learn how 2 do all that without even looking at a keyboard. keep reading from more infrommation. a second reason why we think that more & more people is using computers in because it give people a ability 2 learn about faraway place & people. from example, if u had an project from school & u is doing reearch on anoar country, u could use ur computer 2 get more infrommation about air religions or just a whole country in general. u can also use a computer 2 look up different kinds on people. u can look up people like @person1 from @date1s 2 @person2 who in our preiden now. keep reading from more infrommation. a last reason why we think that more & more people is using computers in because it allows people 2 talk online with oar people. from example, u could set up & account on facebook, myspace, @caps1, or @caps2 & start talking 2 people. u could get 2 know some kids who live in u neighborhood that u never even knew. keep reading 2 find out more. lastly, we think that more & more people is using computers in agreat thing. ay can learn h&-eye coordination, had a ability 2 learn about faraway place & people, & had a opportunity 2 talk 2 oar people online. we talked 2 a people who had just started 2 use computers & @num1 out on @num2 people said that ay had liked what ay had seen. so, we want u 2 go out is & get an computer & see what u think about it. thank u.",8
"dear newspaper, we think that computers had an negative impact on society. we say that because it alows kids 2 be bullied at all hours on a day, it take away from air exercine, & it give an les time 2 study & do school work. overall, we think that talking in a main use from computer. but, some time it in used in a wrong way, @caps1. experts say that @num1 out on every @num2 kids had thing 2 use 2 talk on line, but a also say that @num3 in @num4 on thoe kids is bullyed on line. also every year u hear someone or am, well most on a time it in because on @caps1. in fact we heard on a news that half on air kids were bullyed online. & because u can go on at all hours on a day, kids can get bullied at any time. some child say that kids is happy when ay go ho,e because ay cant be buuyed but @caps3 be bullyed at air safe place, air home. anoar bad thing about a computer in that it replace exercine. an text an & @caps2 football scout said ""every year air is les les people who play sports because on video game or computers."" @caps3 a obeity rate on kids have gone up in american & many agree that a cause computers taking place on exercine. also people think that u get better h& eye coordination but most leaders agree that u don t because it in not ur h& that in moving it in ur mouse. lastly, noe grade is lower an ever from students. most teachers say that @num3 in @num6 students get good grade & ay say that all @num7 that don t spend 2 much time all a computer. we should waching dincovery chanel & it said that @caps3 most kids is spending @num4 hours on a computer & les than @num3 hour on studying or homework. a computer made from storing infrommation & learning. how did we let it go from that 2 an tool wed from @caps1, making lazy kids, & from anti-learning!",8
"dear @caps1, many people say that computers can had an bad effect on people. we came 2 dinagree computers make our live so much easier. we can talk 2 people that we had not seen in an while, we can read/see oar place we thought we will never know about; & insted on having 2 h& write that book we can typr it up. we find ase is reons that show that computers don t had an bad effect on people. imagin u is on facebook & u type in ur bet friend from high schools name she pops up & u an on net. a next day she in on happy u is connected. thats she kind on thing that happens everday people reconnect, that not only happens on facebook, not all over a internet! reconecting with friends & family, talking 2 ur boss on next door u can even send an picture on ur new born baby 2 ur moar who live in @caps2. having computers really allows us 2 reconect 2 ase we had lost. oar is very inportant. but what if we know nothing about oar culture an what will life be like with computers we can instantly learn about oar unlike having 2 go 2 a ad u had 2 do in type in a place & pick a size u want 2 look at all with using computers. @location1 ago people will had 2 write our everthing word by word letter by letter. not with computers. so dont worry that @num1 page paper, u can just type it & with some sontwear, u can even ur paper edited right on a spot. that in great from not only school, children but adult to. that dinsne proposle can be done quickly & easily with computers. many people say that computers can had an bad effect on people. but with advancing technology site gets easier, & a give more time oar things. is in no bad effect on computers. a effects in just helpful nes.",8
"a reason why we think computers is good in because people like 2 do air work, or children like a game on a computers. a second reasons in that adults like 2 do air jobs online. finally people who had computers is probably happy because computers in an good thing 2 had because u can do everything on it. my opinion in that computers is good from people because u can do everything like play game, go on myspace, facebook, twiter & alot on oar website.",4
"we agree with a newspaper, people is spending too much time on a computer & not exercining. everyone knows computers addictive. but people need 2 get out more. but people making it more addicting by creating things such as never ending game & its dintracting people from is life, family, work & exercine.",4
 we not agreed a people shuld d in a computer an lot & we going 2 said way. my first reason in because if u is an @num1 old man or ur not going 2 d wit ur kids & u going 2 had eye problem so thave way u shuld in d in a computer an lot. my secon reason in a u going 2 had problem wit ur wife if she found out a u is talking 2 anoar woman online because an lot on people ay wife found out a ay cant d wit oar woman. my teard reason in a if u is an kid like me u not going 2 had fun & u not going 2 had friends because a computer problem came & go & not going 2 d wit ur family & u lil sinter out said playing wit her. so thave why u shulding d an lot in a computer.,4
"dear computer co., computers had an negative effect. why will u go outside if u could play life - like game on ur @caps1? we lthink that a game on th @caps1 will be removed so people could enjoy all on a great things in life. if people weren t on @caps1s all day, people will pay attention 2 a way ay re detroying nature.",4
 we think computers is good because u can talk 2 ur friends & family on a computers. people needs computers 2 look from an job. some people spend 2 much time on a computers an on homework people need 2 stop.,2
